TIMESTAMP_START,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,WS_F,RH
2003/1/5 8:30,-25.09,183.2,152.4,0.311,93.4,4.226,60.8
2003/1/5 9:00,-24.59,293.7,139.2,0.359,93.4,4.899,56.73
2003/1/5 9:30,-24.08,363.7,144.9,0.375,93.4,4.901,56.89
2003/1/5 10:00,-23.65,396.8,150.5,0.406,93.4,4.544,55.09
2003/1/5 10:30,-23.11,357.3,168.5,0.415,93.4,4.206,56.19
2003/1/5 11:00,-22.93,377,166.5,0.411,93.4,4.992,57.35
2003/1/5 11:30,-22.5,382.8,162.3,0.451,93.4,4.268,54.9
2003/1/5 12:00,-22.16,419.5,151.8,0.5,93.4,4.787,51.51
2003/1/5 12:30,-21.93,393.8,150.4,0.525,93.4,4.559,50.1
2003/1/5 13:00,-21.8,356.6,154.2,0.521,93.5,5.583,51.12
2003/1/5 13:30,-21.37,255.6,169.6,0.486,93.5,4.319,56.1
2003/1/5 14:00,-21.04,223.4,140,0.537,93.5,4.255,52.85
2003/1/5 14:30,-20.97,157.2,136.8,0.581,93.6,4.445,49.31
2003/1/5 15:00,-21.15,90.9,134.8,0.53,93.6,3.298,52.99
2003/1/6 6:30,-24.92,1.106,130.6,0.321,93.7,0.471,60.09
2003/1/6 7:00,-24.9,42.09,129.5,0.348,93.7,0.926,56.82
2003/1/6 7:30,-24.72,116.7,130.7,0.365,93.7,1.057,55.52
2003/1/6 8:00,-22.12,199.9,134.6,0.543,93.7,0.145,47.55
2003/1/6 8:30,-22.74,272.9,136.7,0.499,93.7,0.419,49.1
2003/1/6 9:00,-22.21,346.9,137.1,0.494,93.7,0.85,51.86
2003/1/6 9:30,-21.2,396.8,139.6,0.558,93.7,0.869,50.34
2003/1/6 10:00,-20.34,382.1,141.7,0.626,93.6,0.76,48.24
2003/1/6 10:30,-19.34,416.6,144,0.716,93.6,0.858,45.77
2003/1/6 11:00,-18.49,459.7,146.4,0.802,93.6,1.037,43.51
2003/1/6 11:30,-17.7,473.4,148.2,0.869,93.5,1.063,42.81
2003/1/6 12:00,-16.36,466.1,149.6,1.042,93.5,0.935,38.71
2003/1/6 12:30,-15.54,446.7,150.6,1.165,93.5,1.071,36.03
2003/1/6 13:00,-14.04,395.9,151.6,1.38,93.5,1.107,33.07
2003/1/6 13:30,-13.33,350.1,152.1,1.493,93.5,1.999,31.69
2003/1/6 14:00,-12.51,283.2,151.3,1.65,93.5,3.379,29.39
2003/1/6 14:30,-12.59,189.6,149.9,1.632,93.5,3.258,29.69
2003/1/6 15:00,-13.05,87.5,149.1,1.545,93.5,3.108,30.94
2003/1/7 6:30,-15.94,1.15,151.8,0.628,93.5,3.105,64.38
2003/1/7 7:00,-15.62,32.43,152.1,0.63,93.6,2.318,65.2
2003/1/7 7:30,-15.11,103.5,152.5,0.685,93.6,1.892,63.74
2003/1/7 8:00,-14.49,184,152.9,0.769,93.6,2.218,61.31
2003/1/7 8:30,-13.58,267.4,155.2,0.922,93.6,3.537,56.93
2003/1/7 9:00,-12.68,339.6,158.1,1.1,93.6,3.935,52.28
2003/1/7 9:30,-12.04,399.9,160.6,1.245,93.6,3.867,48.73
2003/1/7 10:00,-11.41,448.3,163,1.422,93.6,3.713,44.31
2003/1/7 10:30,-10.91,480.9,164.5,1.589,93.5,3.946,40.23
2003/1/7 11:00,-10.59,498.1,165.8,1.693,93.5,4.033,37.91
2003/1/7 11:30,-10.01,495.7,166.2,1.821,93.5,3.86,36.25
2003/1/7 12:00,-9.49,481.3,166.5,1.966,93.4,3.473,33.94
2003/1/7 12:30,-9.29,450.4,166.2,2.058,93.4,3.407,31.91
2003/1/7 13:00,-8.89,401.4,165.8,2.112,93.4,3.235,32.32
2003/1/7 13:30,-8.85,346.3,164.7,2.107,93.4,4.293,32.69
2003/1/7 14:00,-8.52,275.3,164.2,2.165,93.4,4.119,32.6
2003/1/7 14:30,-8.34,195.8,163.3,2.19,93.4,3.006,32.76
2003/1/7 15:00,-8.71,113.7,160.8,2.08,93.5,2.572,34.27
2003/1/8 6:30,-13.54,2.091,164.9,1.217,93.3,1.769,43.38
2003/1/8 7:00,-11.83,42.23,165.4,1.511,93.3,2.349,38.8
2003/1/8 7:30,-9.86,117.2,166.6,1.909,93.3,2.787,33.94
2003/1/8 8:00,-8.21,198.4,168.7,2.287,93.3,2.884,30.49
2003/1/8 8:30,-7.327,278.6,171.1,2.51,93.3,3.696,28.78
2003/1/8 9:00,-6.314,351.1,173.8,2.785,93.3,4.039,26.91
2003/1/8 9:30,-5.63,412.9,176,2.996,93.2,4.433,25.4
2003/1/8 10:00,-5.026,459.9,178.8,3.178,93.2,4.291,24.43
2003/1/8 10:30,-4.23,491.4,180.6,3.413,93.2,3.739,23.57
2003/1/8 11:00,-3.723,508.2,181.7,3.594,93.1,4.244,22.55
2003/1/8 11:30,-2.836,507.9,183.6,3.885,93.1,2.785,21.65
2003/1/8 12:00,-2.547,492.2,183.4,3.998,93,3.466,21.08
2003/1/8 12:30,-2.234,457.1,182.7,4.104,93,3.612,20.86
2003/1/8 13:00,-2.16,403.4,181.7,4.134,93,3.106,20.71
2003/1/8 13:30,-2.424,343.8,179.9,4.054,93,4.428,20.7
2003/1/8 14:00,-2.12,304.6,179.7,4.19,93,3.528,19.88
2003/1/8 14:30,-2.042,217.6,179.5,4.235,92.9,3.533,19.48
2003/1/8 15:00,-2.33,128.7,174.3,4.127,92.9,3.602,19.84
2003/1/9 6:30,-8.77,0.412,177.8,0.938,92.8,4.356,70.22
2003/1/9 7:00,-8.65,23.47,181.5,0.951,92.8,4.413,70.08
2003/1/9 7:30,-8.36,71.31,179.9,1.008,92.8,3.542,69
2003/1/9 8:00,-8.04,142.9,179.7,1.079,92.9,4.462,67.65
2003/1/9 8:30,-7.672,206.7,180.8,1.166,92.9,4.749,66.01
2003/1/9 9:00,-7.409,216.1,181.7,1.235,92.9,5.742,64.73
2003/1/9 9:30,-6.777,329.4,185.1,1.402,92.9,5.053,61.87
2003/1/9 10:00,-6.319,364.6,186.8,1.53,92.9,4.649,59.84
2003/1/9 10:30,-5.819,414.6,188.3,1.684,92.8,4.708,57.46
2003/1/9 11:00,-5.438,448.7,188.4,1.8,92.8,5.272,55.83
2003/1/9 11:30,-5.06,438.2,190,1.934,92.8,5.606,53.89
2003/1/9 12:00,-4.892,362.8,192.4,1.999,92.8,5.317,52.95
2003/1/9 12:30,-4.893,296.7,194.6,2,92.8,5.308,52.91
2003/1/9 13:00,-4.919,315.9,209.9,1.967,92.8,5.626,53.6
2003/1/9 13:30,-5.014,209.1,211.2,1.871,92.8,4.377,55.55
2003/1/9 14:00,-5.389,127.9,211.1,1.691,92.8,5.79,58.65
2003/1/9 14:30,-5.503,93,209.7,1.478,92.8,3.649,63.56
2003/1/9 15:00,-5.728,40.35,205.9,1.331,92.9,2.634,66.6
2003/1/9 15:30,-5.995,19.49,187.5,1.338,92.9,3.708,65.75
2003/1/10 6:30,-12.68,0.587,230.7,0.26,92.9,0.497,88.7
2003/1/10 7:00,-12.72,14.88,228.2,0.264,92.9,0.418,88.5
2003/1/10 7:30,-12.47,56.7,230.3,0.312,92.9,1.17,86.7
2003/1/10 8:00,-12.24,98.1,230.2,0.337,93,1.006,85.9
2003/1/10 8:30,-11.24,115.9,245.4,0.414,93,0.321,84
2003/1/10 9:00,-10.6,133.1,256,0.477,93,0.349,82.5
2003/1/10 9:30,-10.17,196.4,260.4,0.457,93,0.374,83.8
2003/1/10 10:00,-8.38,277.1,267.8,0.655,92.9,1.001,79.82
2003/1/10 10:30,-7.44,307.4,238.4,1.068,92.9,2.424,69.44
2003/1/10 11:00,-7.26,328.5,219,1.205,92.8,3.603,65.98
2003/1/10 11:30,-7.041,248.6,236.4,1.294,92.8,2.8,64.08
2003/1/10 12:00,-6.947,196.6,258.9,1.238,92.8,3.424,65.89
2003/1/10 12:30,-7.124,176.7,255.9,1.09,92.8,2.476,69.56
2003/1/10 13:00,-7.106,254.8,233,1.234,92.8,4.044,65.57
2003/1/10 13:30,-7.073,216.4,236.4,1.267,92.8,3.318,64.75
2003/1/10 14:00,-7.096,143.5,244.6,1.292,92.8,3.237,64
2003/1/10 14:30,-7.356,107.3,246.4,1.153,92.8,2.965,67.22
2003/1/10 15:00,-7.717,78.15,218.3,1.032,92.8,2.623,69.83
2003/1/10 15:30,-8.01,37.74,218.6,0.992,92.9,2.661,70.33
2003/1/11 6:30,-8.7,1.265,220.7,0.935,92.4,4.17,70.46
2003/1/11 7:00,-8.69,17.55,186.5,0.959,92.4,3.535,69.74
2003/1/11 7:30,-8.44,71.48,212.5,1.032,92.4,3.524,68.07
2003/1/11 8:00,-7.95,83.8,229.7,1.156,92.4,5.804,65.57
2003/1/11 8:30,-7.611,170.3,199.7,1.236,92.4,5.267,64.15
2003/1/11 9:00,-6.712,286.5,192.9,1.477,92.4,4.417,60.04
2003/1/11 9:30,-6.213,379.3,188,1.648,92.4,5.969,57.08
2003/1/11 10:00,-5.748,433.3,190.4,1.769,92.4,4.794,55.56
2003/1/11 10:30,-5.697,481.5,195.1,1.779,92.4,5.828,55.47
2003/1/11 11:00,-5.313,503.5,200.1,1.862,92.3,5.356,54.74
2003/1/11 11:30,-4.966,399.9,201.1,1.954,92.3,4.735,53.75
2003/1/11 12:00,-4.31,491.1,209,2.157,92.3,4.36,51.41
2003/1/11 12:30,-4.2,255.8,221.2,2.163,92.3,3.977,51.67
2003/1/11 13:00,-4.358,307.2,212.2,2.093,92.3,5.348,52.69
2003/1/11 13:30,-4.036,317.9,194,2.185,92.3,4.411,51.79
2003/1/11 14:00,-3.746,280.1,200.4,2.275,92.3,3.726,50.88
2003/1/11 14:30,-3.918,184.1,194.3,2.214,92.4,3.458,51.58
2003/1/11 15:00,-4.195,95.4,187.8,2.118,92.4,3.874,52.71
2003/1/11 15:30,-4.471,34.62,187.6,2.02,92.4,3.765,53.93
2003/1/12 6:30,-3.271,1.151,191.8,2.49,92.2,5.712,48.13
2003/1/12 7:00,-3.057,37.88,192,2.591,92.2,5.162,46.87
2003/1/12 7:30,-2.607,112.5,191.9,2.795,92.2,5.731,44.58
2003/1/12 8:00,-2.041,193.2,193.9,3.044,92.2,5.642,42.13
2003/1/12 8:30,-1.411,272.3,196.5,3.321,92.2,6.113,39.73
2003/1/12 9:00,-0.762,343.2,199.7,3.635,92.2,6.486,37.11
2003/1/12 9:30,-0.321,402.3,202.5,3.859,92.1,6.374,35.35
2003/1/12 10:00,0.027,450.5,204.1,4.03,92.1,3.914,34.17
2003/1/12 10:30,0.647,482.2,205.7,4.312,92.1,6.056,32.67
2003/1/12 11:00,0.913,499.5,205.6,4.442,92.1,6.2,31.95
2003/1/12 11:30,1.096,499.1,205.4,4.515,92,5.328,31.74
2003/1/12 12:00,1.455,484.5,205,4.666,92,4.837,31.26
2003/1/12 12:30,1.454,454.3,204.3,4.649,91.9,5.519,31.5
2003/1/12 13:00,1.194,404.9,203,4.485,91.9,6.247,32.67
2003/1/12 13:30,1.061,349.1,201.7,4.379,92,5.685,33.63
2003/1/12 14:00,0.916,272.2,200.5,4.263,92,5.212,34.71
2003/1/12 14:30,0.681,188,199.2,4.096,92,5.636,36.19
2003/1/12 15:00,0.266,108.9,197.1,3.83,92,6.069,38.52
2003/1/12 15:30,-0.318,40.24,196.3,3.481,92,5.267,41.69
2003/1/13 6:30,-4.127,0.905,196.8,1.258,92.2,5.076,72.06
2003/1/13 7:00,-4.177,20.23,197.2,1.286,92.2,4.335,71.33
2003/1/13 7:30,-4.044,74.65,198.1,1.302,92.2,4.186,71.25
2003/1/13 8:00,-3.758,137.4,199.3,1.351,92.2,4.451,70.81
2003/1/13 8:30,-3.284,193,202.5,1.492,92.3,4.055,68.88
2003/1/13 9:00,-2.992,181.5,210.5,1.578,92.3,3.782,67.81
2003/1/13 9:30,-2.431,294.5,208.1,1.82,92.2,4.085,64.39
2003/1/13 10:00,-2.57,275.9,217.7,1.792,92.3,4.872,64.56
2003/1/13 10:30,-2.216,262.4,271.2,1.926,92.2,3.915,62.9
2003/1/13 11:00,-2.63,143.6,280.3,1.843,92.2,4.425,63.39
2003/1/13 11:30,-2.816,166.1,278.6,1.56,92.2,3.699,68.58
2003/1/13 12:00,-3.169,168.4,285.6,1.114,92.2,3.313,76.96
2003/1/13 12:30,-3.512,209,278.5,1.112,92.2,3.789,76.42
2003/1/13 13:00,-3.67,155.6,275.9,1.096,92.2,3.644,76.47
2003/1/13 13:30,-4.21,59.86,281,1.043,92.2,4.091,76.69
2003/1/13 14:00,-5.251,54.36,280.5,0.694,92.3,3.808,83.2
2003/1/13 14:30,-5.925,43.14,275.1,0.691,92.3,3.405,82.4
2003/1/13 15:00,-6.562,27.34,270.3,0.643,92.4,2.759,82.8
2003/1/13 15:30,-7.287,13.26,266.6,0.619,92.4,3.408,82.5
2003/1/14 6:30,-22.73,1.389,128.8,0.224,93.3,2.133,77.14
2003/1/14 7:00,-22.42,37.77,128.6,0.252,93.3,2.537,75.03
2003/1/14 7:30,-21.95,117.2,128.1,0.283,93.3,1.946,73.03
2003/1/14 8:00,-20.89,203.4,128.9,0.352,93.4,1.789,69.5
2003/1/14 8:30,-20.04,285.7,130.5,0.413,93.4,2.462,66.74
2003/1/14 9:00,-19.33,356.1,132.1,0.523,93.4,3.258,60.4
2003/1/14 9:30,-18.96,418.4,134.4,0.638,93.4,3.535,53.19
2003/1/14 10:00,-18.37,467.3,136.9,0.698,93.4,2.787,51.36
2003/1/14 10:30,-18.05,506.5,138.3,0.74,93.4,3.092,49.82
2003/1/14 11:00,-17.4,526.2,139.7,0.83,93.4,3.228,46.75
2003/1/14 11:30,-16.82,524.5,141.1,0.902,93.4,3.058,44.9
2003/1/14 12:00,-16.51,505.3,140.3,0.959,93.4,3.395,42.88
2003/1/14 12:30,-16.35,459.7,139.4,0.999,93.4,3.422,41.32
2003/1/14 13:00,-16.21,421.9,138.2,1.039,93.4,3.535,39.68
2003/1/14 13:30,-15.93,370.2,137.5,1.074,93.4,3.543,39.09
2003/1/14 14:00,-15.95,299.8,136.6,1.063,93.4,4.024,39.61
2003/1/14 14:30,-15.93,214.2,135.3,1.078,93.4,3.446,38.84
2003/1/14 15:00,-16.32,129.9,133.2,1.048,93.4,4.117,38.57
2003/1/14 15:30,-16.76,53,133.4,0.982,93.5,3.25,40.29
2003/1/15 6:30,-22.9,1.922,128.3,0.428,93.6,1.106,55.66
2003/1/15 7:00,-23.27,46.77,129.1,0.424,93.6,1.807,54.68
2003/1/15 7:30,-23.85,123.9,130.3,0.405,93.6,2.091,54.31
2003/1/15 8:00,-23.12,206.2,132.8,0.446,93.6,1.24,52.96
2003/1/15 8:30,-20.6,285.2,137.3,0.611,93.6,0.26,48.36
2003/1/15 9:00,-18.72,358.9,142.2,0.765,93.6,0.381,45.04
2003/1/15 9:30,-16.73,422.2,147.2,1.031,93.5,0.615,37.5
2003/1/15 10:00,-15.57,468.8,151.9,1.195,93.5,0.552,34.24
2003/1/15 10:30,-15.01,490.3,154.6,1.265,93.4,0.824,33.53
2003/1/15 11:00,-13.86,491.3,157.1,1.416,93.4,0.818,32.35
2003/1/15 11:30,-12.98,492.8,157.8,1.498,93.3,1.256,33.4
2003/1/15 12:00,-11.96,499.1,157.5,1.695,93.2,1.563,30.63
2003/1/15 12:30,-10.75,430.6,170.5,1.917,93.2,1.315,28.8
2003/1/15 13:00,-9.72,425.3,175.2,2.155,93.2,1.312,26.26
2003/1/15 13:30,-7.73,370.3,178.7,2.72,93.1,1.528,20.36
2003/1/15 14:00,-6.481,315.8,183.1,3.306,93.1,3.815,12.12
2003/1/15 14:30,-6.166,240.7,169.6,3.405,93.1,3.362,11.67
2003/1/15 15:00,-6.348,138.6,164,3.349,93.1,3.469,11.88
2003/1/15 15:30,-6.696,57.52,166.3,3.246,93.1,2.822,12.27
2003/1/16 6:30,-7.616,0.37,267.9,0.969,93,3.969,71.87
2003/1/16 7:00,-7.52,3.837,269.3,0.951,93,4.674,72.62
2003/1/16 7:30,-7.553,18.49,272.4,0.796,93,3.878,77.02
2003/1/16 8:00,-7.658,61.8,256.5,0.622,93,4.636,81.9
2003/1/16 8:30,-7.383,159.3,225.8,0.711,93,4.29,79.73
2003/1/16 9:00,-6.706,243.3,217.1,1,93,4.909,72.95
2003/1/16 9:30,-6.147,302.9,217.4,1.211,92.9,6,68.63
2003/1/16 10:00,-5.664,329.8,207.5,1.319,92.9,5.103,67.08
2003/1/16 10:30,-5.383,375,204.3,1.398,92.9,5.183,65.84
2003/1/16 11:00,-5.122,342.2,211.9,1.505,92.8,6.008,63.95
2003/1/16 11:30,-4.722,305.5,229,1.672,92.8,4.755,61.14
2003/1/16 12:00,-4.547,319.3,239.9,1.646,92.8,4.223,62.26
2003/1/16 12:30,-4.821,289.2,228.4,1.511,92.8,5.415,64.62
2003/1/16 13:00,-4.751,294.6,234.2,1.46,92.8,5.094,65.99
2003/1/16 13:30,-4.538,203.9,252.5,1.52,92.8,3.789,65.16
2003/1/16 14:00,-4.455,135.4,264.2,1.588,92.8,3.445,63.83
2003/1/16 14:30,-4.491,143.6,233.8,1.696,92.8,4.414,61.26
2003/1/16 15:00,-4.563,69.81,244.8,1.724,92.8,3.66,60.41
2003/1/16 15:30,-4.679,21.26,236.5,1.726,92.8,3.063,60.02
2003/1/17 6:30,-9.58,0.8,244,0.553,93.3,3.487,81.3
2003/1/17 7:00,-10.15,11.34,197,0.683,93.3,3.449,75.82
2003/1/17 7:30,-10.82,65.19,162.3,0.609,93.4,2.346,77.26
2003/1/17 8:00,-10.94,180.6,161.9,0.547,93.4,2.226,79.39
2003/1/17 8:30,-10.98,245.1,161.1,0.604,93.4,2.209,77.16
2003/1/17 9:00,-10.37,348.2,162,0.811,93.4,1.531,70.79
2003/1/17 9:30,-9.9,414.3,161,1.3,93.4,1.981,54.88
2003/1/17 10:00,-9.81,461.4,160.3,1.62,93.4,2.689,44.15
2003/1/17 10:30,-9.59,510,160.3,1.909,93.4,2.266,35.34
2003/1/17 11:00,-9.49,530.6,161,2.003,93.4,2.163,32.68
2003/1/17 11:30,-9.19,536.1,160.6,2.125,93.3,2.065,30.27
2003/1/17 12:00,-8.72,521.3,160.2,2.292,93.3,2.128,27.51
2003/1/17 12:30,-8.82,491.1,159.5,2.262,93.3,2.481,27.9
2003/1/17 13:00,-8.4,441.9,159.9,2.364,93.3,2.253,27.09
2003/1/17 13:30,-8.25,387.6,158.4,2.386,93.3,2.103,27.25
2003/1/17 14:00,-8.19,313.9,157.5,2.392,93.3,2.327,27.41
2003/1/17 14:30,-8.18,231.8,156.6,2.388,93.3,1.949,27.61
2003/1/17 15:00,-8.2,142,154.9,2.361,93.3,1.865,28.3
2003/1/17 15:30,-8.71,65.19,154.1,2.247,93.4,1.913,28.99
2003/1/18 6:30,-17.64,2.249,141.2,0.755,93.4,2.524,50.53
2003/1/18 7:00,-18.74,44.27,142.1,0.629,93.4,2.459,54.75
2003/1/18 7:30,-18.06,131.2,148.1,0.697,93.4,2.158,52.66
2003/1/18 8:00,-17.17,215.9,158.9,0.821,93.4,1.573,48.35
2003/1/18 8:30,-15.29,265.7,170.3,1.066,93.4,1.026,42.69
2003/1/18 9:00,-13.12,340.2,175.2,1.369,93.4,0.328,38.46
2003/1/18 9:30,-10.9,392.2,174.3,1.795,93.4,0.535,32.52
2003/1/18 10:00,-11.17,415.9,171.7,1.601,93.3,1.51,38.5
2003/1/18 10:30,-11.82,483.2,170.2,1.409,93.3,1.665,42.96
2003/1/18 11:00,-11.09,480.5,167.8,1.698,93.3,1.794,35.21
2003/1/18 11:30,-9.71,483.9,173.7,1.977,93.3,1.328,32.41
2003/1/18 12:00,-8.66,351.6,191,2.239,93.2,1.251,29.51
2003/1/18 12:30,-7.874,293.9,214.7,2.433,93.2,1.126,27.98
2003/1/18 13:00,-7.332,257.4,210,2.562,93.2,1.513,27.28
2003/1/18 13:30,-7.599,221,175.9,2.431,93.2,1.717,29.54
2003/1/18 14:00,-8.12,182.6,176.2,2.394,93.2,1.984,27.75
2003/1/18 14:30,-8.67,172,178,2.26,93.2,2.18,28.81
2003/1/18 15:00,-8.49,124.6,174.7,2.345,93.2,0.77,27.17
2003/1/18 15:30,-8.06,59,175.5,2.436,93.2,0.287,26.84
2003/1/19 6:30,-16.83,1.476,155.5,0.792,92.8,1.54,51.54
2003/1/19 7:00,-16.93,44.24,155.1,0.757,92.8,1.997,53.32
2003/1/19 7:30,-15.25,124.4,155.4,0.959,92.8,1.254,48.62
2003/1/19 8:00,-13.41,203.1,157.8,1.223,92.8,0.402,43.69
2003/1/19 8:30,-12.36,280.6,160.5,1.39,92.8,0.369,41.25
2003/1/19 9:00,-12.01,352.6,162.8,1.384,92.8,0.913,43.12
2003/1/19 9:30,-11.83,403.4,164.3,1.395,92.8,1.216,43.5
2003/1/19 10:00,-11.32,454.4,165.4,1.444,92.7,1.26,43.88
2003/1/19 10:30,-11.14,491.4,166,1.429,92.7,1.665,45.26
2003/1/19 11:00,-10.43,509.7,167.3,1.51,92.6,1.636,45.34
2003/1/19 11:30,-9.51,510.8,169.7,1.691,92.6,1.854,43.07
2003/1/19 12:00,-8.33,499.2,171.1,1.976,92.6,2.449,39.38
2003/1/19 12:30,-7.718,479.8,169.9,2.278,92.5,3.524,33.38
2003/1/19 13:00,-7.501,418.1,168.6,2.348,92.5,3.223,32.47
2003/1/19 13:30,-7.681,320,172.3,2.285,92.5,3.211,33.36
2003/1/19 14:00,-8.1,242.7,178.3,2.203,92.5,3.641,33.61
2003/1/19 14:30,-7.996,225.6,177.3,2.234,92.6,3.26,33.22
2003/1/19 15:00,-8.1,165.3,190.1,2.227,92.6,3.606,32.91
